case_id,family,pattern_id,changed_qids,set_change_rate,order_change_rate,first_change_position,private_access_count,leak_class,status
c_9858f84665404167,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_9ba4168d6ef04084,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_9c69d78e00e84cea,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_a3b59688f8614014,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_a4b2fffa9df24877,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_a76921b573594b2a,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_a7a21a51cf0644c1,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_a8f8b364d3274793,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_aca7168d5ac24072,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_acf3a2ed291e46c6,Leak-F,F3,0,0.0,0.0,,15,ACCESS_LEAK,REPRODUCED
c_ae61c24d7a1d4e79,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_b3c392488ed94c9c,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_b4bd4dda993d4582,Leak-M,M3,3,0.03333333333333333,0.05,1,15,BEHAVIORAL_LEAK,REPRODUCED
c_b60850a8533a48e8,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_b614168a3b2c4109,Leak-R,R1,0,0.0,0.0,,15,ACCESS_LEAK,REPRODUCED
c_b639297f26794243,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_b81289d8ab814dcb,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_b9474bd167b94253,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_ba9b3c839d7747c6,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_bd56abf2cdbc4ff2,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_bf705262cfd64e7a,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_c0e03156eb114ec0,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_c0ee3e26b0c74aaa,Leak-M,M3,0,0.0,0.0,,1,ACCESS_LEAK,REPRODUCED
c_c2bdabf56b154c5a,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
