qid_hash,doc_id_hash,level,category,row_hash
h_185b757724f24441,,query,risk_types_real_conflict,6ace287c2642d2933f0712c94edfb1a3ddf055acfe9fd5d561872923875fd097
h_f0da2634e5b19f13,,query,fully_consistent,e0d5071626b74dbee0035b5d791845af961cc2aada491d3c690d8cff20a9500f
h_2b944d2fa2df7b5d,,query,query_states_real_conflict,d23882bee6e04c6620a39528a0d41aee7b38321aea8907b70856d2ee159f681c
h_cc578f24f40eff17,,query,fully_consistent,932fa9c05df3ca2a6e17e753c0e065225d6ddeec1e7fdccf53792fdd0b10be8e
h_19a64aefaff94913,,query,query_states_real_conflict,6aaa44163665b7befa4f255473ca6601478b1b0fc8b426d790cd43c950f71053
h_19a64aefaff94913,,query,risk_types_real_conflict,6aaa44163665b7befa4f255473ca6601478b1b0fc8b426d790cd43c950f71053
h_3b0dfa043436e728,,query,query_states_real_conflict,074cd94b6cf9941b1bd506268d096a1d114a3fa16e34b8ceaca7a0ef2e372449
h_2ccdf6f2ccc0bce7,,query,query_states_real_conflict,7f326e2613393856468e5ddfeb8143a010d644b91770b973023fae9398f4c20a
h_2ccdf6f2ccc0bce7,,query,risk_types_real_conflict,7f326e2613393856468e5ddfeb8143a010d644b91770b973023fae9398f4c20a
h_81403919f2d33064,,query,fully_consistent,c06ef5f86984c446bf9c75d52010b0c56a67f36c051467dae45ca8f9f7352806
h_964afc20a1d837fe,,query,query_states_real_conflict,7f856d5010f107de021de24da86ecbf7bd9518fb729b13e2528ab6d6d10e94d4
h_964afc20a1d837fe,,query,risk_types_real_conflict,7f856d5010f107de021de24da86ecbf7bd9518fb729b13e2528ab6d6d10e94d4
h_ea06a6e62bea0fa4,,query,fully_consistent,efa315c9179e59bcb60422ce549ee226b1a8a33019fda1516e870022c9786f5e
h_7f122ec85fd92ccb,,query,query_states_real_conflict,fba71b3a49b71c34930c59bf0d32d51d707b398973e747ed9c566e86a7dc5b60
h_6f52fede6f0c3811,,query,query_states_real_conflict,f69171715dbc7fff8a6359aa2dd7b8f6ac728c0b8e9b975be22adeb1f2b8fd75
h_59211fa4542d2c9f,,query,query_states_real_conflict,065e00b4d7d7b23d98ae7d4a0a6dc5a4dc3bdbd4fae59e341adf3f41d4084a5b
h_7a9d3d4163ea6d74,,query,query_states_real_conflict,d80717a80cbc43c60dc3d3cb0a1228a8c057d8a63a949fb3dfb9bf7fca33141b
h_a4c6cc2d0344dbf8,,query,query_states_real_conflict,45388402ff42500f2ad201fd3001e4c45987e3afe7a1c7b6554a67784ce371df
h_a4c6cc2d0344dbf8,,query,risk_types_real_conflict,45388402ff42500f2ad201fd3001e4c45987e3afe7a1c7b6554a67784ce371df
h_f09012a393b7b5be,,query,fully_consistent,c049c75a865147bbc2a28a3b6befb0d7eecb3228a17c376f96bfb038582f1492
h_baa319eaa3b86279,,query,query_states_real_conflict,62eea6eb307f433a96b673a4eb88c338b64062cbea7606fdcac68ad226cb5881
h_21845abacd62a0c3,,query,query_states_real_conflict,2d3464065510597a405664292a9bf12327ebcb2f99c0cd50f390f4966c2b7e54
h_21845abacd62a0c3,,query,risk_types_real_conflict,2d3464065510597a405664292a9bf12327ebcb2f99c0cd50f390f4966c2b7e54
h_dc2e6dcc378dc471,,query,fully_consistent,631480695b89f3e523f20db96ef762f7edc94dc8c7ab335e0623d9176d142e35
h_e97fe6737cf45b1d,,query,query_states_real_conflict,e6b7b2b5f86a0230da90d4dcd77ff89d415a1883ae2771e884962ffc1597c71f
h_e97fe6737cf45b1d,,query,risk_types_real_conflict,e6b7b2b5f86a0230da90d4dcd77ff89d415a1883ae2771e884962ffc1597c71f
h_ddfdbe12e25a9300,,query,query_states_real_conflict,4ebe32888bac2b8e77b73951fb86405d18961f060b7042502ae5530c7503cbde
h_888d0173b1dc7cba,,query,query_states_real_conflict,8d83deac6bc76ea4e0117a6ad372db46d71d5988183e5bbcf245fae0dc78fdb2
h_c0e319b715d02b78,,query,fully_consistent,d64fe0a6b37837c70cbf259f4887c0a3d2418678c7ad28a210095952b0f0b834
h_6766d10184784c3d,,query,query_states_real_conflict,da5d92722897e773295c526a64c18035b052e6566cf54bd55867cb35261776da
h_93ced938e855f50c,,query,query_states_real_conflict,994303417c73047852c85ca9484aa816754a68f64243ec53e09e99a28f4bd5dc
h_e0cef060477eddb6,,query,query_states_real_conflict,1c64ca16d5a7900ffea050ee6da6e27064baefc5752a7fb2b4f5ce7db3f3d04a
h_e0cef060477eddb6,,query,risk_types_real_conflict,1c64ca16d5a7900ffea050ee6da6e27064baefc5752a7fb2b4f5ce7db3f3d04a
h_a3809cada7a35f86,,query,query_states_real_conflict,c9a52694020ab024283b4a62ed07c6a28a4f458e049ba08b5bd225a46a2c27bc
h_0306d12b3af54920,,query,query_states_real_conflict,f259ba296a1c2ce8320706fec90eb2234e8c06f72a97e64baa9960c6b0c7d7f0
h_0306d12b3af54920,,query,risk_types_real_conflict,f259ba296a1c2ce8320706fec90eb2234e8c06f72a97e64baa9960c6b0c7d7f0
h_d6dcbf977f3ad96d,,query,query_states_real_conflict,f8a1ab5479dc421a1b4b34fa79ce55d190bdeb3552d822404fd7b815e9102082
