case_id,clean_type,code_sha256,data_sha256,config_sha256,combined_sha256,status
c_83a70ce8d96049df,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,165ca77942d15bfb2325703686ae260aef2bbf59bbbdb2a23731511df2b004d1,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,e4fdf732ed363b8ea8e238425b6e3c5a376ed546095e64695d2c2622af421a9b,REPRODUCED
c_86046f76f7c94b25,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,796f84f8a42291e57d29a49a362f607be2e800ab5da0d6b4fae38bb586eace90,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,6e58cdc8beb47516232cf9cd2ae06cc63cc3cc01e4abb9c701854ab1b843f47b,REPRODUCED
c_8b8359c4644e4bc6,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,66c507f4da7d3881095b19dae0abf734518371f98140ad66e1c58312edab037b,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,8f1f180adce30b5aa574b33f7a1ce979c9f864d27f907ea7fa2b9ee16b8d5012,REPRODUCED
c_8e45d88f0fa2499a,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,bcf52b6ca086e9cf5a0ad7af859f7cf8df2de29f2254fdcbda8d0cc84069d8b8,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,8ac614edce4399b91d12a15be24f87ed49662aea05883135751b92d25e7fc695,REPRODUCED
c_8ef2d3787cc54b05,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,edcbddfa5bee39b1c1040eff2bfacca12399fae80d17f729ebfc67424fdf0920,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,2e955fc86451ae21bc663cbd49525c4cf250d32b76689c8edf75072e95d5b49f,REPRODUCED
c_944e1b7397fb484d,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,cd5552f2bc84a2bdaddce065330d521ae57a05c4f3231d85ecb27eaeba917e8b,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,2ac5ef6a1e272021048867aae1657f90cecb7d4490f91fef120e6db8e792f808,REPRODUCED
c_9858f84665404167,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,2c80ca7ba0ad8c7e4310934a4dd4b949184ef7887f0ef80c5dd7023f4d89b766,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,9843f1c43c695ae8f1e3bb7430b6603141cbc6ffe2e342fb828f157d581feb77,REPRODUCED
c_9ba4168d6ef04084,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,7efc3cd8d153f6b43fdebf9c83d37bf23ef402e0a484e97b929a32b20fe52c48,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,814bc0159a1828281b357f55187270bb1365806c570c631ef1e1c221548b7b46,REPRODUCED
c_9c69d78e00e84cea,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,48608cd97b40677f79126a9d4e16c9680072da61355f6f7d5cad2cfc905d1060,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,c025d443e0a1b58609859856e4ab83c9d45cd2987e85dd1c1d8db3dc556d4024,REPRODUCED
c_a3b59688f8614014,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,20cfed6e6ad610e163fb19eeef50f7b3a66f7637d822700ae9131cf292605c4d,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,265911994821a690b62a154fc8ed27dd51668c1917dcdc4798b40dc7a08f52a7,REPRODUCED
c_a4b2fffa9df24877,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,340ef377fdaa423b441f9c387ea3aaf6cbba55a7e7d37a794273fceb56efd343,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,dd8c752ec7f092b78666068596d4e3dd7f29886fe96ecec3badcd5d87e078804,REPRODUCED
c_a76921b573594b2a,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,fff3bbe6533710035237587abc392837afbf0a3175f2a3ebfd00fd3965008a58,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,d7213175aa89085def5e164a7224dfdbc8699607372e303f7c812d1b51e2f4e0,REPRODUCED
c_a7a21a51cf0644c1,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,ff8ced18143f2ed0369feacbe14388c0c86b36c097326f2c4cbb9bec995609e7,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,8707f4a397d25a80ada7761d55c7294478cee70e09a70cc3270ffe80f91016c7,REPRODUCED
c_a8f8b364d3274793,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,6a782b54106b2cc59b182066de6e56ab0c030afa918fbece7889612a5371bd93,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,95b62678eab9bf3e6b92ea51459c891dc76e146718f3cadf5a41a19936544a87,REPRODUCED
c_aca7168d5ac24072,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,858a49198208518b4235ff63f6e4bd4336eb84d78a53af39b0789723fd426db5,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,0f05f811976f1e4a97fb80000b0dbc4f3efe7e02f413fe7366e19b92abab4ca3,REPRODUCED
c_ae61c24d7a1d4e79,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,85e4e1055347a2584f0b75dec76dbc10753c70f0efebd994101552b62b5e6ca9,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,898909992b6b36c6167eea90000a0acaf1713da95aade06d32e20ae74998603f,REPRODUCED
c_b3c392488ed94c9c,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,e32214c29db2a4a7eae6c415868624030235f1c3dcb9109f01f0ec497fff8d0c,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,175b6d4a67eb24475f5569af03f4b8fcbb3b4deb16e89fdfb1730e37a397193b,REPRODUCED
c_b60850a8533a48e8,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,6c40fec06c123b3350197f9818823a66d429a94bcc34a79b1b0cfa53620f3f2b,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,47851474b4ff7144b4699c0d37745bcf08864acf5663e11b3a4e268333854934,REPRODUCED
c_b639297f26794243,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,8e67e69f66198f593b7edc4011930fa3b558c2260d6d8bd597e5edda1e48eb9e,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,ba8ad2ccba8ff76d095d7ae842e16a5ef4fa1e3e46803685b40fdce2d10370ca,REPRODUCED
c_b81289d8ab814dcb,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,098f63bc05764f4eeb92619fdf189b0d0c660c409e860325ee94c7c74cdecdb4,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,ca63f67bbe77bcaeae8f5f3a0bd8dc92f846377cffb41314b5b1613eb71d9d72,REPRODUCED
c_b9474bd167b94253,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,f6f763915f5cd5e7df11acc7e29d4953a0d3c88bca090cc16cd20b3479a2f957,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,c68997f4103095e8e290aee3195dd9ce5d298cda08a769fadb54cdef9168136c,REPRODUCED
c_ba9b3c839d7747c6,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,9462a3a0a074d48335f34b01d51b4642d73bc315f94bef5620e615d4beabf5f8,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,9a42e6457e68dac033d0bcd5624784bf1c8aca70460d952326ae4053b000de00,REPRODUCED
c_bd56abf2cdbc4ff2,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,bedfa14ce6d1cac0b719588e3795dd0d649b6d1e0939bf8f95fb69abeaf6b4b5,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,937a308ff38fbf7201bd0994fa801273cfe749719bed7196a6b055dbe754f9fe,REPRODUCED
