scenario,leak_rate,seed,demand_cov
query_only,0.25,14,0.8718
query_only,0.25,15,0.8731
query_only,0.25,16,0.8718
query_only,0.25,17,0.8718
query_only,0.25,18,0.8741
query_only,0.25,19,0.8728
query_only,0.25,20,0.8722
query_only,0.25,21,0.8745
query_only,0.25,22,0.8745
query_only,0.25,23,0.8716
query_only,0.25,24,0.8735
query_only,0.25,25,0.8745
query_only,0.25,26,0.8745
query_only,0.25,27,0.8735
query_only,0.25,28,0.8747
query_only,0.25,29,0.8728
query_only,0.25,30,0.8735
query_only,0.25,31,0.8757
query_only,0.25,32,0.8718
query_only,0.25,33,0.8745
query_only,0.25,34,0.8735
query_only,0.25,35,0.8689
query_only,0.25,36,0.8745
query_only,0.25,37,0.8728
query_only,0.25,38,0.8747
query_only,0.25,39,0.8728
query_only,0.25,40,0.8745
query_only,0.25,41,0.8735
query_only,0.25,42,0.8745
query_only,0.25,43,0.8757
query_only,0.25,44,0.8745
query_only,0.25,45,0.8718
query_only,0.25,46,0.8757
query_only,0.25,47,0.8741
query_only,0.25,48,0.8745
query_only,0.25,49,0.8741
query_only,0.5,0,0.8741
query_only,0.5,1,0.8732
query_only,0.5,2,0.8706
query_only,0.5,3,0.8735
query_only,0.5,4,0.8706
query_only,0.5,5,0.8716
query_only,0.5,6,0.8747
query_only,0.5,7,0.8745
query_only,0.5,8,0.8732
query_only,0.5,9,0.8706
query_only,0.5,10,0.8731
query_only,0.5,11,0.8745
query_only,0.5,12,0.8741
query_only,0.5,13,0.8718
query_only,0.5,14,0.8724
query_only,0.5,15,0.8757
query_only,0.5,16,0.8731
query_only,0.5,17,0.8735
query_only,0.5,18,0.8735
query_only,0.5,19,0.8745
query_only,0.5,20,0.8718
query_only,0.5,21,0.8745
query_only,0.5,22,0.8728
query_only,0.5,23,0.8735
query_only,0.5,24,0.8712
query_only,0.5,25,0.8689
query_only,0.5,26,0.8714
query_only,0.5,27,0.8718
query_only,0.5,28,0.8728
query_only,0.5,29,0.8714
