split,method,k,category,denominator_qid,coverage_rate
internal_blind,D2,7,D05_care_emergency,49,0.81632653
internal_blind,D2,7,D06_mental_safety,1,1.00000000
internal_blind,D3_TFIDF,3,D01_symptom_course,153,0.89542484
internal_blind,D3_TFIDF,3,D02_cause_diagnosis,84,0.88095238
internal_blind,D3_TFIDF,3,D03_treatment_medication,90,0.95555556
internal_blind,D3_TFIDF,3,D04_population_history,80,0.75000000
internal_blind,D3_TFIDF,3,D05_care_emergency,49,0.63265306
internal_blind,D3_TFIDF,3,D06_mental_safety,1,1.00000000
internal_blind,D3_TFIDF,5,D01_symptom_course,153,0.95424837
internal_blind,D3_TFIDF,5,D02_cause_diagnosis,84,0.96428571
internal_blind,D3_TFIDF,5,D03_treatment_medication,90,0.97777778
internal_blind,D3_TFIDF,5,D04_population_history,80,0.81250000
internal_blind,D3_TFIDF,5,D05_care_emergency,49,0.73469388
internal_blind,D3_TFIDF,5,D06_mental_safety,1,1.00000000
internal_blind,D3_TFIDF,7,D01_symptom_course,153,0.96078431
internal_blind,D3_TFIDF,7,D02_cause_diagnosis,84,0.97619048
internal_blind,D3_TFIDF,7,D03_treatment_medication,90,0.98888889
internal_blind,D3_TFIDF,7,D04_population_history,80,0.85000000
internal_blind,D3_TFIDF,7,D05_care_emergency,49,0.81632653
internal_blind,D3_TFIDF,7,D06_mental_safety,1,1.00000000
internal_blind,MMR,3,D01_symptom_course,153,0.94771242
internal_blind,MMR,3,D02_cause_diagnosis,84,0.88095238
internal_blind,MMR,3,D03_treatment_medication,90,0.95555556
internal_blind,MMR,3,D04_population_history,80,0.68750000
internal_blind,MMR,3,D05_care_emergency,49,0.61224490
internal_blind,MMR,3,D06_mental_safety,1,1.00000000
internal_blind,MMR,5,D01_symptom_course,153,0.97385621
internal_blind,MMR,5,D02_cause_diagnosis,84,0.95238095
internal_blind,MMR,5,D03_treatment_medication,90,0.98888889
internal_blind,MMR,5,D04_population_history,80,0.78750000
internal_blind,MMR,5,D05_care_emergency,49,0.77551020
internal_blind,MMR,5,D06_mental_safety,1,1.00000000
internal_blind,MMR,7,D01_symptom_course,153,0.98039216
internal_blind,MMR,7,D02_cause_diagnosis,84,0.96428571
internal_blind,MMR,7,D03_treatment_medication,90,0.98888889
internal_blind,MMR,7,D04_population_history,80,0.85000000
internal_blind,MMR,7,D05_care_emergency,49,0.81632653
internal_blind,MMR,7,D06_mental_safety,1,1.00000000
cmedqa2_external,B0,3,D01_symptom_course,107,0.91588785
cmedqa2_external,B0,3,D02_cause_diagnosis,47,0.89361702
cmedqa2_external,B0,3,D03_treatment_medication,73,0.98630137
cmedqa2_external,B0,3,D04_population_history,64,0.84375000
cmedqa2_external,B0,3,D05_care_emergency,13,0.61538462
cmedqa2_external,B0,3,D06_mental_safety,0,
cmedqa2_external,B0,5,D01_symptom_course,107,0.97196262
cmedqa2_external,B0,5,D02_cause_diagnosis,47,0.97872340
cmedqa2_external,B0,5,D03_treatment_medication,73,0.98630137
cmedqa2_external,B0,5,D04_population_history,64,0.92187500
cmedqa2_external,B0,5,D05_care_emergency,13,0.84615385
cmedqa2_external,B0,5,D06_mental_safety,0,
cmedqa2_external,B0,7,D01_symptom_course,107,0.98130841
cmedqa2_external,B0,7,D02_cause_diagnosis,47,0.97872340
cmedqa2_external,B0,7,D03_treatment_medication,73,0.98630137
cmedqa2_external,B0,7,D04_population_history,64,0.93750000
cmedqa2_external,B0,7,D05_care_emergency,13,0.92307692
cmedqa2_external,B0,7,D06_mental_safety,0,
cmedqa2_external,D0,3,D01_symptom_course,107,0.99065421
cmedqa2_external,D0,3,D02_cause_diagnosis,47,0.97872340
cmedqa2_external,D0,3,D03_treatment_medication,73,1.00000000
cmedqa2_external,D0,3,D04_population_history,64,0.95312500
cmedqa2_external,D0,3,D05_care_emergency,13,1.00000000
cmedqa2_external,D0,3,D06_mental_safety,0,
cmedqa2_external,D0,5,D01_symptom_course,107,0.99065421
cmedqa2_external,D0,5,D02_cause_diagnosis,47,0.97872340
cmedqa2_external,D0,5,D03_treatment_medication,73,1.00000000
cmedqa2_external,D0,5,D04_population_history,64,0.96875000
cmedqa2_external,D0,5,D05_care_emergency,13,1.00000000
cmedqa2_external,D0,5,D06_mental_safety,0,
cmedqa2_external,D0,7,D01_symptom_course,107,0.99065421
cmedqa2_external,D0,7,D02_cause_diagnosis,47,0.97872340
cmedqa2_external,D0,7,D03_treatment_medication,73,1.00000000
cmedqa2_external,D0,7,D04_population_history,64,0.96875000
cmedqa2_external,D0,7,D05_care_emergency,13,1.00000000
cmedqa2_external,D0,7,D06_mental_safety,0,
cmedqa2_external,D1,3,D01_symptom_course,107,0.99065421
cmedqa2_external,D1,3,D02_cause_diagnosis,47,0.97872340
cmedqa2_external,D1,3,D03_treatment_medication,73,1.00000000
cmedqa2_external,D1,3,D04_population_history,64,0.92187500
cmedqa2_external,D1,3,D05_care_emergency,13,0.92307692
cmedqa2_external,D1,3,D06_mental_safety,0,
cmedqa2_external,D1,5,D01_symptom_course,107,0.99065421
cmedqa2_external,D1,5,D02_cause_diagnosis,47,0.97872340
cmedqa2_external,D1,5,D03_treatment_medication,73,1.00000000
cmedqa2_external,D1,5,D04_population_history,64,0.95312500
cmedqa2_external,D1,5,D05_care_emergency,13,1.00000000
cmedqa2_external,D1,5,D06_mental_safety,0,
cmedqa2_external,D1,7,D01_symptom_course,107,0.99065421
cmedqa2_external,D1,7,D02_cause_diagnosis,47,0.97872340
cmedqa2_external,D1,7,D03_treatment_medication,73,1.00000000
cmedqa2_external,D1,7,D04_population_history,64,0.95312500
cmedqa2_external,D1,7,D05_care_emergency,13,1.00000000
cmedqa2_external,D1,7,D06_mental_safety,0,
cmedqa2_external,D2,3,D01_symptom_course,107,0.93457944
cmedqa2_external,D2,3,D02_cause_diagnosis,47,0.91489362
cmedqa2_external,D2,3,D03_treatment_medication,73,1.00000000
cmedqa2_external,D2,3,D04_population_history,64,0.90625000
cmedqa2_external,D2,3,D05_care_emergency,13,0.76923077
cmedqa2_external,D2,3,D06_mental_safety,0,
cmedqa2_external,D2,5,D01_symptom_course,107,0.99065421
cmedqa2_external,D2,5,D02_cause_diagnosis,47,0.95744681
cmedqa2_external,D2,5,D03_treatment_medication,73,1.00000000
cmedqa2_external,D2,5,D04_population_history,64,0.93750000
cmedqa2_external,D2,5,D05_care_emergency,13,0.92307692
cmedqa2_external,D2,5,D06_mental_safety,0,
cmedqa2_external,D2,7,D01_symptom_course,107,0.99065421
cmedqa2_external,D2,7,D02_cause_diagnosis,47,0.97872340
cmedqa2_external,D2,7,D03_treatment_medication,73,1.00000000
cmedqa2_external,D2,7,D04_population_history,64,0.95312500
cmedqa2_external,D2,7,D05_care_emergency,13,0.92307692
cmedqa2_external,D2,7,D06_mental_safety,0,
cmedqa2_external,D3_TFIDF,3,D01_symptom_course,107,0.94392523
cmedqa2_external,D3_TFIDF,3,D02_cause_diagnosis,47,0.91489362
cmedqa2_external,D3_TFIDF,3,D03_treatment_medication,73,1.00000000
cmedqa2_external,D3_TFIDF,3,D04_population_history,64,0.93750000
cmedqa2_external,D3_TFIDF,3,D05_care_emergency,13,0.76923077
cmedqa2_external,D3_TFIDF,3,D06_mental_safety,0,
cmedqa2_external,D3_TFIDF,5,D01_symptom_course,107,0.98130841
cmedqa2_external,D3_TFIDF,5,D02_cause_diagnosis,47,0.95744681
cmedqa2_external,D3_TFIDF,5,D03_treatment_medication,73,1.00000000
