scenario,leak_rate,seed,demand_cov,ndcg_10
query_only,0.1,19,0.8728,0.6291
query_only,0.1,20,0.8745,0.6304
query_only,0.1,21,0.8757,0.6283
query_only,0.1,22,0.8745,0.6285
query_only,0.1,23,0.8745,0.6293
query_only,0.1,24,0.8728,0.6281
query_only,0.1,25,0.8735,0.6305
query_only,0.1,26,0.8732,0.6274
query_only,0.1,27,0.8735,0.6327
query_only,0.1,28,0.8728,0.6304
query_only,0.1,29,0.8757,0.6285
query_only,0.1,30,0.8745,0.6298
query_only,0.1,31,0.8745,0.6306
query_only,0.1,32,0.8745,0.6295
query_only,0.1,33,0.8745,0.6293
query_only,0.1,34,0.8745,0.6300
query_only,0.1,35,0.8745,0.6289
query_only,0.1,36,0.8735,0.6307
query_only,0.1,37,0.8745,0.6307
query_only,0.1,38,0.8741,0.6285
query_only,0.1,39,0.8745,0.6278
query_only,0.1,40,0.8745,0.6298
query_only,0.1,41,0.8712,0.6295
query_only,0.1,42,0.8735,0.6293
query_only,0.1,43,0.8745,0.6309
query_only,0.1,44,0.8745,0.6292
query_only,0.1,45,0.8728,0.6297
query_only,0.1,46,0.8712,0.6288
query_only,0.1,47,0.8745,0.6287
query_only,0.1,48,0.8745,0.6285
query_only,0.1,49,0.8722,0.6320
query_only,0.25,0,0.8732,0.6293
query_only,0.25,1,0.8735,0.6289
query_only,0.25,2,0.8706,0.6299
query_only,0.25,3,0.8745,0.6271
query_only,0.25,4,0.8745,0.6319
query_only,0.25,5,0.8745,0.6295
query_only,0.25,6,0.8757,0.6302
query_only,0.25,7,0.8745,0.6325
query_only,0.25,8,0.8732,0.6306
query_only,0.25,9,0.8718,0.6289
query_only,0.25,10,0.8728,0.6300
query_only,0.25,11,0.8716,0.6281
query_only,0.25,12,0.8732,0.6302
query_only,0.25,13,0.8735,0.6309
query_only,0.25,14,0.8718,0.6321
query_only,0.25,15,0.8731,0.6321
query_only,0.25,16,0.8718,0.6292
query_only,0.25,17,0.8718,0.6322
query_only,0.25,18,0.8741,0.6293
query_only,0.25,19,0.8728,0.6277
query_only,0.25,20,0.8722,0.6290
query_only,0.25,21,0.8745,0.6323
query_only,0.25,22,0.8745,0.6337
query_only,0.25,23,0.8716,0.6294
query_only,0.25,24,0.8735,0.6296
query_only,0.25,25,0.8745,0.6289
query_only,0.25,26,0.8745,0.6291
query_only,0.25,27,0.8735,0.6325
query_only,0.25,28,0.8747,0.6317
query_only,0.25,29,0.8728,0.6272
query_only,0.25,30,0.8735,0.6286
query_only,0.25,31,0.8757,0.6287
query_only,0.25,32,0.8718,0.6266
query_only,0.25,33,0.8745,0.6307
query_only,0.25,34,0.8735,0.6295
query_only,0.25,35,0.8689,0.6279
query_only,0.25,36,0.8745,0.6329
query_only,0.25,37,0.8728,0.6299
query_only,0.25,38,0.8747,0.6305
query_only,0.25,39,0.8728,0.6296
query_only,0.25,40,0.8745,0.6298
query_only,0.25,41,0.8735,0.6325
query_only,0.25,42,0.8745,0.6316
query_only,0.25,43,0.8757,0.6312
query_only,0.25,44,0.8745,0.6306
query_only,0.25,45,0.8718,0.6312
query_only,0.25,46,0.8757,0.6301
query_only,0.25,47,0.8741,0.6294
query_only,0.25,48,0.8745,0.6291
query_only,0.25,49,0.8741,0.6277
query_only,0.5,0,0.8741,0.6284
query_only,0.5,1,0.8732,0.6344
query_only,0.5,2,0.8706,0.6328
query_only,0.5,3,0.8735,0.6318
query_only,0.5,4,0.8706,0.6298
query_only,0.5,5,0.8716,0.6315
query_only,0.5,6,0.8747,0.6321
query_only,0.5,7,0.8745,0.6332
query_only,0.5,8,0.8732,0.6295
query_only,0.5,9,0.8706,0.6335
query_only,0.5,10,0.8731,0.6304
query_only,0.5,11,0.8745,0.6269
query_only,0.5,12,0.8741,0.6323
query_only,0.5,13,0.8718,0.6321
query_only,0.5,14,0.8724,0.6295
query_only,0.5,15,0.8757,0.6315
query_only,0.5,16,0.8731,0.6338
query_only,0.5,17,0.8735,0.6317
query_only,0.5,18,0.8735,0.6308
query_only,0.5,19,0.8745,0.6317
query_only,0.5,20,0.8718,0.6339
query_only,0.5,21,0.8745,0.6320
query_only,0.5,22,0.8728,0.6314
query_only,0.5,23,0.8735,0.6324
query_only,0.5,24,0.8712,0.6314
query_only,0.5,25,0.8689,0.6286
query_only,0.5,26,0.8714,0.6299
query_only,0.5,27,0.8718,0.6322
query_only,0.5,28,0.8728,0.6344
query_only,0.5,29,0.8714,0.6315
query_only,0.5,30,0.8702,0.6296
query_only,0.5,31,0.8724,0.6301
query_only,0.5,32,0.8732,0.6314
query_only,0.5,33,0.8745,0.6328
query_only,0.5,34,0.8728,0.6301
query_only,0.5,35,0.8699,0.6293
query_only,0.5,36,0.8714,0.6318
query_only,0.5,37,0.8706,0.6311
query_only,0.5,38,0.8718,0.6315
query_only,0.5,39,0.8745,0.6296
query_only,0.5,40,0.8716,0.6305
query_only,0.5,41,0.8718,0.6305
query_only,0.5,42,0.8728,0.6294
query_only,0.5,43,0.8706,0.6355
query_only,0.5,44,0.8745,0.6318
query_only,0.5,45,0.8745,0.6334
query_only,0.5,46,0.8728,0.6331
query_only,0.5,47,0.8741,0.6303
query_only,0.5,48,0.8757,0.6269
query_only,0.5,49,0.8757,0.6320
query_only,0.75,0,0.8702,0.6315
query_only,0.75,1,0.8702,0.6314
query_only,0.75,2,0.8714,0.6336
query_only,0.75,3,0.8702,0.6318
query_only,0.75,4,0.8689,0.6333
query_only,0.75,5,0.8702,0.6301
query_only,0.75,6,0.8702,0.6306
query_only,0.75,7,0.8718,0.6323
query_only,0.75,8,0.8735,0.6290
query_only,0.75,9,0.8702,0.6320
query_only,0.75,10,0.8741,0.6299
query_only,0.75,11,0.8702,0.6312
query_only,0.75,12,0.8702,0.6269
query_only,0.75,13,0.8728,0.6325
query_only,0.75,14,0.8718,0.6309
query_only,0.75,15,0.8702,0.6304
query_only,0.75,16,0.8689,0.6290
query_only,0.75,17,0.8728,0.6326
query_only,0.75,18,0.8735,0.6305
query_only,0.75,19,0.8714,0.6302
query_only,0.75,20,0.8702,0.6300
query_only,0.75,21,0.8702,0.6287
query_only,0.75,22,0.8702,0.6308
query_only,0.75,23,0.8728,0.6316
query_only,0.75,24,0.8702,0.6286
query_only,0.75,25,0.8702,0.6311
query_only,0.75,26,0.8718,0.6318
query_only,0.75,27,0.8718,0.6275
query_only,0.75,28,0.8706,0.6352
query_only,0.75,29,0.8714,0.6298
query_only,0.75,30,0.8706,0.6324
query_only,0.75,31,0.8712,0.6310
