result_id,experiment_family,split,method,metric,value,sample_size,status,source_release,source_commit,source_file,source_sha256,verification_method,local_rerun,notes
b0_d3.internal_blind.D2.dc,b0_d3,internal_blind,D2,dc,0.92825,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.internal_blind.D2.ndcg,b0_d3,internal_blind,D2,ndcg,0.5109220432465904,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.internal_blind.D3.dc,b0_d3,internal_blind,D3,dc,0.9215833333333333,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.internal_blind.D3.ndcg,b0_d3,internal_blind,D3,ndcg,0.5074724685384393,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3_component_gaps.0.oracle_gain,b0_d3_component_gaps,formal_train,,oracle_gain,0.0636,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/gap_decomposition.csv,2da1114fefd1fa7c5650f4010cfb63538557cbaef334197fb4ee5924d9c562fb,sha256_schema_row_count,false,
b0_d3_component_gaps.0.query_loss,b0_d3_component_gaps,formal_train,,query_loss,0.0179,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/gap_decomposition.csv,2da1114fefd1fa7c5650f4010cfb63538557cbaef334197fb4ee5924d9c562fb,sha256_schema_row_count,false,
b0_d3_component_gaps.0.evidence_loss,b0_d3_component_gaps,formal_train,,evidence_loss,0.0697,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/gap_decomposition.csv,2da1114fefd1fa7c5650f4010cfb63538557cbaef334197fb4ee5924d9c562fb,sha256_schema_row_count,false,
b0_d3_component_gaps.0.interaction_loss,b0_d3_component_gaps,formal_train,,interaction_loss,-0.0222,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/gap_decomposition.csv,2da1114fefd1fa7c5650f4010cfb63538557cbaef334197fb4ee5924d9c562fb,sha256_schema_row_count,false,
b0_d3_component_gaps.1.oracle_gain,b0_d3_component_gaps,internal_blind,,oracle_gain,0.0637,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/gap_decomposition.csv,2da1114fefd1fa7c5650f4010cfb63538557cbaef334197fb4ee5924d9c562fb,sha256_schema_row_count,false,
b0_d3_component_gaps.1.query_loss,b0_d3_component_gaps,internal_blind,,query_loss,0.0282,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/gap_decomposition.csv,2da1114fefd1fa7c5650f4010cfb63538557cbaef334197fb4ee5924d9c562fb,sha256_schema_row_count,false,
