split,method,k,n_qid,demand_cov_at_k,ndcg_at_k,official_ndcg_10,unique_demand_count,mean_gold_relevance,mean_reranker_score,mean_pairwise_similarity,redundancy,full_query_coverage_rate,risk_demand_coverage_rate,risk_qid_count,evidence_status,source_file,source_commit,source_sha256,local_rerun
internal_blind,D1,5,200,0.95366667,0.66288648,0.50944678,4.37000000,0.97900000,0.89140284,0.18758094,0.45240833,0.88000000,0.98148148,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,D1,7,200,0.96483333,0.69065508,0.61445639,4.50000000,0.97571429,0.86037136,0.17579734,0.47465476,0.90500000,0.98148148,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,D2,3,200,0.87416667,0.65228293,0.38943426,3.70000000,1.00333333,0.92181151,0.20910633,0.49733333,0.71500000,0.96296296,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,D2,5,200,0.92825000,0.66510197,0.51092204,4.10000000,0.97700000,0.89200043,0.18853107,0.48370000,0.82500000,0.96296296,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,D2,7,200,0.94116667,0.69614477,0.61913683,4.28500000,0.97928571,0.85916208,0.17749238,0.49144444,0.85500000,0.98148148,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,D3_TFIDF,3,200,0.86525000,0.63908867,0.38034590,3.72500000,0.99166667,0.91254412,0.19420262,0.48011111,0.70000000,0.96296296,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,D3_TFIDF,5,200,0.92158333,0.65945772,0.50747247,4.09000000,0.97400000,0.88743562,0.18536925,0.47498333,0.81500000,0.96296296,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,D3_TFIDF,7,200,0.93991667,0.68757756,0.61163092,4.29000000,0.96857143,0.85645918,0.17479040,0.48731746,0.85500000,0.98148148,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,MMR,3,200,0.87383333,0.66004211,0.39701427,3.77000000,1.03000000,0.93426152,0.10989737,0.46666667,0.70500000,0.92592593,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,MMR,5,200,0.93100000,0.67253109,0.51801722,4.16500000,0.99200000,0.89971092,0.13225414,0.47225000,0.83000000,0.98148148,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
