case_id,pattern_id,family,status,adapter_calls,source_calls,sink_calls,changed_qids,leak_class
c_86046f76f7c94b25,Clean,Clean,EXECUTED,286,0,0,0,NO_LEAK
c_865df1de3d2646b7,R1,Leak-R,EXECUTED,886,60,60,0,ACCESS_LEAK
c_86cdbb6429474b0c,F2,Leak-F,EXECUTED,886,15,15,0,ACCESS_LEAK
c_8b8359c4644e4bc6,Clean,Clean,EXECUTED,331,0,0,0,NO_LEAK
c_8e45d88f0fa2499a,Clean,Clean,EXECUTED,346,0,0,0,NO_LEAK
c_8ef2d3787cc54b05,Clean,Clean,EXECUTED,301,0,0,0,NO_LEAK
c_944e1b7397fb484d,Clean,Clean,EXECUTED,286,0,0,0,NO_LEAK
c_95af74b6a1024214,M4,Leak-M,EXECUTED,886,5,5,1,BEHAVIORAL_LEAK
c_9858f84665404167,Clean,Clean,EXECUTED,331,0,0,0,NO_LEAK
c_9ba4168d6ef04084,Clean,Clean,EXECUTED,331,0,0,0,NO_LEAK
c_9c69d78e00e84cea,Clean,Clean,EXECUTED,316,0,0,0,NO_LEAK
c_a3b59688f8614014,Clean,Clean,EXECUTED,286,0,0,0,NO_LEAK
c_a4b2fffa9df24877,Clean,Clean,EXECUTED,316,0,0,0,NO_LEAK
c_a76921b573594b2a,Clean,Clean,EXECUTED,301,0,0,0,NO_LEAK
c_a7a21a51cf0644c1,Clean,Clean,EXECUTED,316,0,0,0,NO_LEAK
c_a8f8b364d3274793,Clean,Clean,EXECUTED,286,0,0,0,NO_LEAK
c_aca7168d5ac24072,Clean,Clean,EXECUTED,286,0,0,0,NO_LEAK
c_acf3a2ed291e46c6,F3,Leak-F,EXECUTED,886,15,15,0,ACCESS_LEAK
c_ae61c24d7a1d4e79,Clean,Clean,EXECUTED,316,0,0,0,NO_LEAK
c_b3c392488ed94c9c,Clean,Clean,EXECUTED,301,0,0,0,NO_LEAK
c_b4bd4dda993d4582,M3,Leak-M,EXECUTED,886,15,15,3,BEHAVIORAL_LEAK
c_b60850a8533a48e8,Clean,Clean,EXECUTED,301,0,0,0,NO_LEAK
c_b614168a3b2c4109,R1,Leak-R,EXECUTED,886,15,15,0,ACCESS_LEAK
c_b639297f26794243,Clean,Clean,EXECUTED,301,0,0,0,NO_LEAK
c_b81289d8ab814dcb,Clean,Clean,EXECUTED,316,0,0,0,NO_LEAK
c_b9474bd167b94253,Clean,Clean,EXECUTED,316,0,0,0,NO_LEAK
c_ba9b3c839d7747c6,Clean,Clean,EXECUTED,331,0,0,0,NO_LEAK
c_bd56abf2cdbc4ff2,Clean,Clean,EXECUTED,331,0,0,0,NO_LEAK
c_bf705262cfd64e7a,Clean,Clean,EXECUTED,286,0,0,0,NO_LEAK
c_c0e03156eb114ec0,Clean,Clean,EXECUTED,346,0,0,0,NO_LEAK
c_c0ee3e26b0c74aaa,M3,Leak-M,EXECUTED,886,1,1,0,ACCESS_LEAK
c_c2bdabf56b154c5a,Clean,Clean,EXECUTED,346,0,0,0,NO_LEAK
c_c2ed5d72fa75485f,Clean,Clean,EXECUTED,331,0,0,0,NO_LEAK
c_cb0685fad8ad43aa,Clean,Clean,EXECUTED,301,0,0,0,NO_LEAK
c_cd44e81e84724d4a,Clean,Clean,EXECUTED,301,0,0,0,NO_LEAK
c_ceda2a01073c44f3,Clean,Clean,EXECUTED,346,0,0,0,NO_LEAK
c_d054acaba196402a,R3,Leak-R,EXECUTED,886,60,60,0,ACCESS_LEAK
c_d0846fda3e5e4736,Clean,Clean,EXECUTED,316,0,0,0,NO_LEAK
c_d55aa91337014b89,R4,Leak-R,EXECUTED,886,105,105,0,ACCESS_LEAK
c_eac81545cbfb4249,Clean,Clean,EXECUTED,331,0,0,0,NO_LEAK
c_ee3a39fd03e44190,Clean,Clean,EXECUTED,286,0,0,0,NO_LEAK
c_f34ccbf725484c85,Clean,Clean,EXECUTED,346,0,0,0,NO_LEAK
c_f4d70eb71afc4710,R1,Leak-R,EXECUTED,886,105,105,0,ACCESS_LEAK
c_f75797537cc541d2,R2,Leak-R,EXECUTED,886,105,105,0,ACCESS_LEAK
c_f7760253c6c444cb,M3,Leak-M,EXECUTED,886,5,5,1,BEHAVIORAL_LEAK
c_ffa58de489ef46d9,M2,Leak-M,EXECUTED,886,5,5,1,BEHAVIORAL_LEAK
